Категория,Название,Цена,Ссылка
Своя пекарня,Багет О'КЕЙ Традиционный 230г,"68,50₽",https://www.okeydostavka.ru/spb/%D1%81%D0%B2%D0%BE%D1%8F-%D0%BF%D0%B5%D0%BA%D0%B0%D1%80%D0%BD%D1%8F/baget-traditsionnyi-230g
Своя пекарня,Хлеб О'КЕЙ Рижский заварной 285г,"102,50₽",https://www.okeydostavka.ru/spb/%D1%81%D0%B2%D0%BE%D1%8F-%D0%BF%D0%B5%D0%BA%D0%B0%D1%80%D0%BD%D1%8F/khleb-rizhskii-zavarnoi-285g
Своя пекарня,Булочки О'КЕЙ Утренние 5шт*30г,"38,50₽",https://www.okeydostavka.ru/spb/%D1%81%D0%B2%D0%BE%D1%8F-%D0%BF%D0%B5%D0%BA%D0%B0%D1%80%D0%BD%D1%8F/bulochki-utrennie-5-30g
Своя пекарня,Плюшка Московская 150г,"43,50₽",https://www.okeydostavka.ru/spb/%D1%81%D0%B2%D0%BE%D1%8F-%D0%BF%D0%B5%D0%BA%D0%B0%D1%80%D0%BD%D1%8F/pliushka-moskovskaia-150g
Своя пекарня,Самса О'КЕЙ с курицей 140г,"96,50₽",https://www.okeydostavka.ru/spb/%D1%81%D0%B2%D0%BE%D1%8F-%D0%BF%D0%B5%D0%BA%D0%B0%D1%80%D0%BD%D1%8F/samsa-s-kuritsei-140g
Своя пекарня,Хлеб О'КЕЙ Французский с обсыпкой 400г,"64,50₽",https://www.okeydostavka.ru/spb/sladosti-khleb/khlebobulochnye-izdeliia/khleb-baton-lepeshki-lavash/khleb-frantsuzskii-s-obsypkoi-400g
Своя пекарня,"Тесто дрожжевое сдобное вес, кг","154,50₽",https://www.okeydostavka.ru/spb/testo-drozhzhevoe-sdobnoe
Своя пекарня,Лепешка О'КЕЙ С сыром 160г,"94,99₽",https://www.okeydostavka.ru/spb/%D1%81%D0%B2%D0%BE%D1%8F-%D0%BF%D0%B5%D0%BA%D0%B0%D1%80%D0%BD%D1%8F/lepeshka-s-syrom-160g
Своя пекарня,Хлеб О'КЕЙ Питерский 300г,"61,50₽",https://www.okeydostavka.ru/spb/%D1%81%D0%B2%D0%BE%D1%8F-%D0%BF%D0%B5%D0%BA%D0%B0%D1%80%D0%BD%D1%8F/khleb-piterskii-300g
Своя пекарня,Хлебушек О'КЕЙ Бородинский 360г,"90,50₽",https://www.okeydostavka.ru/spb/khlebushek-borodinskii-360g
Своя пекарня,Хлеб О'КЕЙ Маг заварной с семечками 400г,"102,50₽",https://www.okeydostavka.ru/spb/%D1%81%D0%B2%D0%BE%D1%8F-%D0%BF%D0%B5%D0%BA%D0%B0%D1%80%D0%BD%D1%8F/khleb-mag-zavarnoi-s-semechkami-400g
Своя пекарня,Улитка греческая О'КЕЙ со шпинатом и сыром 150г,"82,50₽",https://www.okeydostavka.ru/spb/own-bakery/ulitka-grecheskaia-so-shpinatom-i-syrom-150g-827813-parent-1
Своя пекарня,Багет О'КЕЙ Шале чесночный,"92,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%B1%D0%B0%D0%B3%D0%B5%D1%82--%D1%87%D0%B5%D1%81%D0%BD%D0%BE%D1%87%D0%BD%D1%8B%D0%B9-0--25-%D0%BA%D0%B3-4896-parent--1
Своя пекарня,"Тесто для пиццы вес, кг","185,50₽",https://www.okeydostavka.ru/spb/testo-dlia-pitstsy
Своя пекарня,Чиабатта О'КЕЙ темная 90г,"41,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D1%87%D0%B8%D0%B0%D0%B1%D0%B1%D0%B0%D1%82%D0%B0-%D1%82%D0%B5%D0%BC%D0%BD%D0%B0%D1%8F-90%D0%B3-974905-parent-3074457345617876188--1
Своя пекарня,Багет О'КЕЙ С ветчиной и сыром 230г,"109,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%B1%D0%B0%D0%B3%D0%B5%D1%82-%D1%81-%D0%B2%D0%B5%D1%82%D1%87%D0%B8%D0%BD%D0%BE%D0%B9-%D0%B8-%D1%81%D1%8B%D1%80%D0%BE%D0%BC-230%D0%B3-999929-parent-3074457345617934390--1
Своя пекарня,Булочка О'КЕЙ Ржаная 3шт*50г,"27,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%B1%D1%83%D0%BB%D0%BE%D1%87%D0%BA%D0%B0-%D1%80%D0%B6%D0%B0%D0%BD%D0%B0%D1%8F--%D1%83%D0%BF-3*-50%D0%B3-693310-parent--1
Своя пекарня,Багет Шале ржаной с чесноком 140г,"92,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%B8%D1%82%D0%B0%D0%BB%D1%8C%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9-%D0%B1%D0%B0%D0%B3%D0%B5%D1%82--160-%D0%B3-364078-parent--1
Своя пекарня,Хлебушек О'КЕЙ Кукурузный 5шт*30г,"54,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D1%85%D0%BB%D0%B5%D0%B1%D1%83%D1%88%D0%B5%D0%BA-%D0%BA%D1%83%D0%BA%D1%83%D1%80%D1%83%D0%B7%D0%BD%D1%8B%D0%B9-30%D0%B3-%D1%83%D0%BF-5%D1%88%D1%82-521699-parent--1
Своя пекарня,Багет кукурузный 100г,"23,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%B1%D0%B0%D0%B3%D0%B5%D1%82-%D0%BA%D1%83%D0%BA%D1%83%D1%80%D1%83%D0%B7%D0%BD%D1%8B%D0%B9-100%D0%B3-938062-parent-3074457345617781590--1
Своя пекарня,Гипфель с Клубникой 70г,"41,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%B3%D0%B8%D0%BF%D1%84%D0%B5%D0%BB%D1%8C-%D1%81-%D0%BA%D0%BB%D1%83%D0%B1%D0%BD%D0%B8%D0%BA%D0%BE%D0%B9-70-%D0%B3-%D1%88%D1%82-499931-parent--1
Своя пекарня,Улитка греческая О'КЕЙ с мясом 150г,"82,50₽",https://www.okeydostavka.ru/spb/own-bakery/ulitka-grecheskaia-s-miasom-150g-827811-parent-1
Своя пекарня,Гипфель со Смородиной 70г,"41,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%B3%D0%B8%D0%BF%D1%84%D0%B5%D0%BB%D1%8C-%D1%81%D0%BE-%D1%81%D0%BC%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D0%BD%D0%BE%D0%B9-70-%D0%B3-%D1%88%D1%82-499933-parent--1
Своя пекарня,Лепешка с ветчиной и сыром 160г,"109,99₽",https://www.okeydostavka.ru/spb/skidki-1-3074457345616778220/%D0%BB%D0%B5%D0%BF%D0%B5%D1%88%D0%BA%D0%B0-%D1%81-%D0%B2%D0%B5%D1%82%D1%87%D0%B8%D0%BD%D0%BE%D0%B9-%D0%B8-%D1%81%D1%8B%D1%80%D0%BE%D0%BC-160%D0%B3-941641-parent-3074457345617794360--1
Своя пекарня,Хлеб О'КЕЙ Чиабатта 100г,"38,50₽",https://www.okeydostavka.ru/spb/sladosti-khleb/khlebobulochnye-izdeliia/khleb-baton-lepeshki-lavash/khleb-chiabatta-100-g
Своя пекарня,Хлеб О'КЕЙ Сучасны бездрожжевой 345г,"72,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D1%85%D0%BB%D0%B5%D0%B1-%D1%81%D1%83%D1%87%D0%B0%D1%81%D0%BD%D1%8B-%D0%B1%D0%B5%D0%B7%D0%B4%D1%80%D0%BE%D0%B6%D0%B6%D0%B5%D0%B2%D0%BE%D0%B9-345%D0%B3-939868-parent-3074457345617789382--1
Своя пекарня,"Пирог с капустой, кг","424,90₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%BF%D0%B8%D1%80%D0%BE%D0%B3-%D0%B4%D0%BE%D0%BC%D0%B0%D1%88%D0%BD%D0%B8%D0%B9-%D1%81-%D0%BA%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%BE%D0%B9-21945-parent--1
Своя пекарня,Улитка греческая О'КЕЙ с сыром 150г,"82,50₽",https://www.okeydostavka.ru/spb/own-bakery/ulitka-grecheskaia-s-syrom-150g-827812-parent-1
Своя пекарня,Хлеб О'КЕЙ Нарочанский заварной 280г,"66,50₽",https://www.okeydostavka.ru/spb/khleb-narochanskii-zavarnoi-280g
Своя пекарня,Розан со смородиной 110г,"58,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D1%80%D0%BE%D0%B7%D0%B0%D0%BD-%D1%81%D0%BE-%D1%81%D0%BC%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D0%BD%D0%BE%D0%B9-110%D0%B3-962605-parent-3074457345617847351--1
Своя пекарня,Хлеб О'КЕЙ Юбилярный бездрожжевой 310г,"72,50₽",https://www.okeydostavka.ru/spb/khleb-iubiliarnyi-bezdrozhzhevoi-310g
Своя пекарня,Лепешка О'КЕЙ С зеленью и чесноком 180г,"119,49₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%BB%D0%B5%D0%BF%D0%B5%D1%88%D0%BA%D0%B0-%D1%81-%D0%B7%D0%B5%D0%BB%D0%B5%D0%BD%D1%8C%D1%8E-%D0%B8-%D1%87%D0%B5%D1%81%D0%BD%D0%BE%D0%BA%D0%BE%D0%BC-180%D0%B3-999930-parent-3074457345617934392--1
Своя пекарня,Донат О'КЕЙ с клубничной глазурью 65г,"72,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%B4%D0%BE%D0%BD%D0%B0%D1%82-%D0%BA%D0%BB%D1%83%D0%B1%D0%BD%D0%B8%D0%BA%D0%B0-%D1%81-%D0%BA%D0%BB%D1%83%D0%B1%D0%BD%D0%B8%D1%87%D0%BD%D0%BE%D0%B9-%D0%BD%D0%B0%D1%87%D0%B8%D0%BD%D0%BA%D0%BE%D0%B9-65%D0%B3-988554-parent-3074457345617907856--1
Своя пекарня,Улитка греческая О'КЕЙ с курицей и картофелем 150г,"75,50₽",https://www.okeydostavka.ru/spb/own-bakery/ulitka-grecheskaia-kosichka-s-kuritsei-i-kartofelem-150g-827810-parent-1
Своя пекарня,Торт Медовик 109г,"123,50₽",https://www.okeydostavka.ru/spb/tort-medovik-109g
Своя пекарня,"Лепешка Томаты с базиликом, 165г","109,99₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%BB%D0%B5%D0%BF%D0%B5%D1%88%D0%BA%D0%B0-%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D1%8B-%D1%81-%D0%B1%D0%B0%D0%B7%D0%B8%D0%BB%D0%B8%D0%BA%D0%BE%D0%BC--165%D0%B3-691742-parent--1
Своя пекарня,Донат О'КЕЙ с шоколадной начинкой 65г,"72,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%B4%D0%BE%D0%BD%D0%B0%D1%82-%D1%88%D0%BE%D0%BA%D0%BE%D0%BB%D0%B0%D0%B4-%D1%81-%D1%88%D0%BE%D0%BA%D0%BE%D0%BB%D0%B0%D0%B4%D0%BD%D1%8B%D0%BC-%D0%BA%D1%80%D0%B5%D0%BC%D0%BE%D0%BC-65%D0%B3-988555-parent-3074457345617907859--1
Своя пекарня,Торт Захер 103г,"123,50₽",https://www.okeydostavka.ru/spb/tort-zakher-103g
Своя пекарня,Хлеб О'КЕЙ Карельский 300г,"66,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D1%85%D0%BB%D0%B5%D0%B1-%D0%BA%D0%B0%D1%80%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9--300-%D0%B3-348720-parent--1
Своя пекарня,"Сухари панировочные пшеничные вес, кг","205,50₽",https://www.okeydostavka.ru/spb/own-bakery/sukhari-panirovochnye-pshenichnye-7063-parent-1
Своя пекарня,Торт Миндальный 55г,"133,50₽",https://www.okeydostavka.ru/spb/tort-mindal-nyi-55g
Своя пекарня,Круассан О'КЕЙ С абрикосовой начинкой 60г,"49,99₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%BA%D1%80%D1%83%D0%B0%D1%81%D1%81%D0%B0%D0%BD%D1%8B-%D1%81-%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%BE%D1%81%D0%BE%D0%B2%D0%BE%D0%B9-%D0%BD%D0%B0%D1%87%D0%B8%D0%BD%D0%BA%D0%BE%D0%B9-60%D0%B3-874208-parent-3074457345617647620--1
Своя пекарня,Багет ржаной 145г,"56,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%B1%D0%B0%D0%B3%D0%B5%D1%82-%D1%80%D0%B6%D0%B0%D0%BD%D0%BE%D0%B9-145%D0%B3-966241-parent-3074457345617856796--1
Своя пекарня,Пирог О'КЕЙ Курник,"72,99₽",https://www.okeydostavka.ru/spb/own-bakery/pirog-kurnik--16051-parent-1
Своя пекарня,Багет О'КЕЙ пшеничный 220г,"68,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D0%B1%D0%B0%D0%B3%D0%B5%D1%82-%D1%82%D1%80%D0%B0%D0%B4%D0%B8%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9-260-%D0%B3--%D1%88%D1%82-533828-parent--1
Своя пекарня,Турновер О'КЕЙ с сыром и ветчиной 105г,"66,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D1%82%D1%83%D1%80%D0%BD%D0%BE%D0%B2%D0%B5%D1%80-%D1%81-%D1%81%D1%8B%D1%80%D0%BE%D0%BC-%D0%B8-%D0%B2%D0%B5%D1%82%D1%87%D0%B8%D0%BD%D0%BE%D0%B9-105-%D0%B3-%D1%88%D1%82-332719-parent--1
Своя пекарня,Турновер C сыром и ветчиной 140г,"82,50₽",https://www.okeydostavka.ru/spb/own-bakery/%D1%82%D1%83%D1%80%D0%BD%D0%BE%D0%B2%D0%B5%D1%80-%D0%B2%D0%B5%D1%82%D1%87%D0%B8%D0%BD%D0%B0-%D1%81%D1%8B%D1%80-160%D0%B3%D1%80-996246-parent-3074457345617927102--1
Овощи и фрукты / Овощи,"Картофель, кг","31,50₽",https://www.okeydostavka.ru/spb/kartofel-kg-19175-parent
Овощи и фрукты / Овощи,"Лук репчатый, кг","30,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/luk-repchatyi-kg
Овощи и фрукты / Овощи,"Капуста белокочанная, кг","25,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/kapusta-belokochannaia-kg
Овощи и фрукты / Овощи,"Морковь, кг","24,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/morkov-kg
Овощи и фрукты / Овощи,"Картофель 1,5-2,5кг","61,50₽",https://www.okeydostavka.ru/spb/kartofel-fas-kg
Овощи и фрукты / Овощи,"Томаты сливовидные, кг","308,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/tomaty-slivovidnye-kg
Овощи и фрукты / Овощи,"Картофель красный, кг","46,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/kartofel-krasnyi-kg
Овощи и фрукты / Овощи,"Огурцы грунтовые, кг","308,50₽",https://www.okeydostavka.ru/spb/ogurtsy-gruntovye-kg
Овощи и фрукты / Овощи,"Перец Ласточка, кг","298,50₽",https://www.okeydostavka.ru/spb/perets-lastochka-kg
Овощи и фрукты / Овощи,"Свекла, кг","25,50₽",https://www.okeydostavka.ru/spb/ovoshchi-i-frukty/ovoshchi/svekla-kg
